Value,Disaggregation combinations using this value,Number of indicators
ABT2 status: National target reflecting ABT2 exists and progress is on track to achieve it,1,1
Deviation Level: Extreme (75-100%),2,1
Deviation Level: High (50-75%),2,1
Deviation Level: Low (0-25%),2,1
Deviation Level: Medium (25-50%),2,1
Elevation 1.000–1.500 meters and slope > 5 or local elevation range (LER 7 kilometer radius) > 300 meters,1,1
Elevation 1.500–2.500 meters and slope > 2,1,1
Elevation 2.500–3.500 meters,1,1
Elevation 300–1.000 meters and local elevation range (7 kilometer radius) > 300 meters,1,1
Food Waste Sector: Households,2,1
Food Waste Sector: Out-of-home consumption,2,1
Food Waste Sector: Retail,2,1
Grounds of discrimination: Age,30,2
Grounds of discrimination: Born out of wedlock,30,2
Grounds of discrimination: Disability,30,2
Grounds of discrimination: Ethnic or immigration status,30,2
Grounds of discrimination: Marital and family status,30,2
Grounds of discrimination: Other,30,2
Grounds of discrimination: Political opinion,30,2
Grounds of discrimination: Pregnancy,10,2
Grounds of discrimination: Religion,30,2
Grounds of discrimination: Sex,30,2
IHR Capacity: Chemical events,2,1
IHR Capacity: Coordination and National Focal Point communications,1,1
IHR Capacity: Food safety,1,1
IHR Capacity: Human resources,1,1
IHR Capacity: Laboratory,1,1
"IHR Capacity: National legislation, policy and financing",1,1
IHR Capacity: Points of entry,1,1
IHR Capacity: Preparedness,1,1
IHR Capacity: Radionuclear emergencies,2,1
IHR Capacity: Response,1,1
IHR Capacity: Risk communication,1,1
IHR Capacity: Surveillance,1,1
IHR Capacity: Zoonotic events,1,1
International Organisation: African Development Bank,36,2
International Organisation: International Bank for Reconstruction and Development,40,2
International Organisation: International Finance Corporation,40,2
International Organisation: International Monetary Fund,40,2
International Organisation: UN Economic and Social Council,16,2
International Organisation: UN General Assembly,4,2
International Organisation: World Trade Organisation,28,2
Internet speed: 10 Mbit/s or above,3,1
Internet speed: 2 Mbit/s to less than 10 Mbit/s,3,1
Internet speed: 256 kbit/s to less than 2 Mbit/s,3,1
Mode of Transport: Air,2,1
Mode of transport: Inland waterway transport,2,1
Mode of Transport: Rail,2,1
Mode of Transport: Road,2,1
Non-communicable disease: Cancer,15,1
Non-communicable disease: Cardiovascular disease,15,1
Non-communicable disease: Chronic respiratory disease,15,1
Non-communicable disease: Diabetes,15,1
Parliamentary committee: Defence,2,1
Parliamentary committee: Finance,2,1
Parliamentary committee: Foreign Affairs,2,1
Parliamentary committee: Gender Equality,2,1
Parliamentary committee: Human Rights,2,1
Policy Domain 1. Migrant rights,1,1
Policy Domain 2. Whole-of-government/ Evidence-based policies,1,1
Policy Domain 3. Cooperation and partnerships,1,1
Policy Domain 4. Socioeconomic well-being,1,1
Policy Domain 5. Mobility dimensions of crises,1,1
"Policy Domain 6. Safe, orderly and regular migration",1,1
"Skill: ICT Skill: Changing privacy settings on your device, account or app to limit the sharing of personal data and information (e.g. name, contact information, photos)",1,1
Skill: ICT Skill: connecting and installing new devices,4,2
Skill: ICT Skill: Copying or moving a file or folder,4,2
Skill: ICT Skill: Creating electronic presentations with presentation software,4,2
"Skill: ICT Skill: Finding, downloading, installing and configuring software",4,2
Skill: ICT Skill: Sending e-mails with attached files,4,2
"Skill: ICT Skill: Setting up effective security measures (e.g. strong passwords, log-in attempt notification) to protect devices and online accounts",1,1
Skill: ICT Skill: Transferring files between a computer and other devices,4,2
Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,4,2
Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,4,2
Skill: ICT Skill: Writing a computer program using a specialized programming language,4,2
Skill: Mathematics,13,2
Skill: Reading,13,2
State Party Annual Report 2: Chemical events,1,1
State Party Annual Report 2: Financing,1,1
State Party Annual Report 2: Food safety,1,1
State Party Annual Report 2: Health emergency management,1,1
State Party Annual Report 2: Health services provision,1,1
State Party Annual Report 2: Human resources,1,1
"State Party Annual Report 2: IHR Coordination, National IHR Focal Point functions and advocacy",1,1
State Party Annual Report 2: Infection prevention and control (IPC),1,1
State Party Annual Report 2: Laboratory,1,1
State Party Annual Report 2: Points of entry (PoEs) and border health,1,1
"State Party Annual Report 2: Policy, Legal and normative Instruments to implement IHR",1,1
State Party Annual Report 2: Radiation emergencies,1,1
State Party Annual Report 2: Risk communication and community engagement (RCCE),1,1
State Party Annual Report 2: Surveillance,1,1
State Party Annual Report 2: Zoonotic diseases,1,1
State Party Annual Report: Chemical events ,2,1
State Party Annual Report: Food safety ,2,1
State Party Annual Report: Health Service Provision ,2,1
State Party Annual Report: Human resources ,2,1
State Party Annual Report: IHR Coordination and National IHR Focal Point Functions ,2,1
State Party Annual Report: Laboratory ,2,1
State Party Annual Report: Legislation and Financing,2,1
State Party Annual Report: National Health Emergency Framework ,2,1
State Party Annual Report: Points of entry ,2,1
State Party Annual Report: Radiation emergencies ,2,1
State Party Annual Report: Risk Communication ,2,1
State Party Annual Report: Surveillance ,2,1
State Party Annual Report: Zoonotic events and the human–animal interface ,2,1
Type of renewable technology: Bioenergy,2,2
Type of renewable technology: Hydropower,3,3
Type of renewable technology: Multiple renewables,1,1
Type of renewable technology: Solar energy,5,3
Waste treatment: Composting,1,1
Waste Treatment: Incineration to generate energy,1,1
Waste treatment: Incineration,1,1
"Waste treatment: Landfilling, controlled",1,1
Waste treatment: Landfilling,1,1
Waste treatment: Other type of waste management,1,1
