Value,Disaggregation combinations using this value,Number of indicators
2020 dataset disaggregated into relevant themes,2,1
"ABS measures reported refers to legislative, administrative and policy framework or measures reported to the ABS Clearing-House. For values:  TRUE = 1.0; FALSE = 0.0. Data as per 15 February 2017.",1,1
"Accessed September 14, 2022. Based on data from PICES. Estimated from imputed unit-record consumption data. ",3,1
"Accessed September 14, 2022. Survey name: PICES. Uses a consumption aggregate, which is not spatially deflated.",7,1
Administrative data based on most recent election results (2018). Data cover only election results for contested seats (98% of all positions).,1,1
"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division, World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	1 means over-representation of women in parliament ",2,1
"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year",6,2
"Bicameral: Lower chamber (National Assembly), No Age Data, Data valid as of 1 Jan of given year",1,1
"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division, World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	1 means over-representation of women in parliament ",2,1
"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year",1,1
"Bicameral: Upper chamber (Senate), No Age Data, Data valid as of 1 Jan of given year",2,1
Budgetary Central Government Expenditure,6,1
"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",1,1
Cumulative value.,1,1
"Data refer to 31 local authorities, namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane. Dumpsites rather than landfills.",1,1
"Data refer to 31 local authourities,namel : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.",1,1
