Value,Disaggregation combinations using this value,Number of indicators
10.1992,5,1
102,21,1
1108,5,1
11249,5,1
11470.5,6,1
11625,5,1
1227.6,6,1
14.5,5,1
15524,5,1
1591.2,6,1
17377,5,1
20.1,5,1
2.06499,5,1
2229,5,1
22.8,5,1
2319,5,1
23,1,1
2426,5,1
25.6,21,1
2585,5,1
2637.5,6,1
26.4,1,1
27148,5,1
30.9,6,1
31.9,5,1
3218.7,6,1
3337,5,1
34,6,1
3.5,6,1
35.1,6,1
3888,5,1
39.8,5,1
40.3,20,1
40.4,20,1
41.1,5,1
42.9,20,1
43,5,1
4904,5,1
49.1,5,1
4.9,21,1
5219.4,6,1
536.6,21,1
5.60313,5,1
6127,5,1
6314,5,1
6.3,5,1
66.4,6,1
68.8,6,1
74.2,6,1
77.2,6,1
8,5,1
80.9,5,1
81.2176,3,1
82.0115,3,1
9.9,5,1
