Value,Disaggregation combinations using this value,Number of indicators
0.7975,1,1
0.79754,1,1
0.79759,1,1
0.79761,1,1
0.79762,1,1
0.79765,1,1
0.7977,2,1
0.79777,1,1
0.79778,1,1
0.79785,1,1
0.7979,1,1
0.79801,1,1
0.79816,1,1
0.79837,1,1
0.79846,1,1
0.79871,1,1
0.79907,1,1
0.79941,1,1
0.79983,1,1
0.8002,1,1
0.80054,1,1
0.8009,1,1
0.80125,1,1
0.8016,1,1
0.80195,1,1
0.8023,1,1
0.80266,1,1
0.8031,1,1
0.80354,1,1
10029.6,1,1
10.1,1,1
10178.9,1,1
10.1992,1,1
102,1,1
10330,1,1
104,1,1
1050,1,1
107.135,1,1
107.4,1,1
10820.4,1,1
1108,1,1
11110,1,1
111.3,1,1
11249,1,1
1.14332,1,1
11441,1,1
114.6,1,1
11470.5,1,1
1150,1,1
11559,1,1
11.6173,1,1
116.2,1,1
11625,1,1
11.8,1,1
118.2,1,1
119.6,1,1
1200,1,1
120.5,1,1
12.1,1,1
1210,1,1
121.4,1,1
122.5,1,1
1227.6,1,1
1230,2,1
12447,1,1
1246,1,1
124.7,1,1
1248,1,1
1249,1,1
12564,1,1
1264.3,1,1
127.7,1,1
1.28643,1,1
130.452,1,1
13.1,1,1
131.4,1,1
1320,1,1
132.619,1,1
1327,1,1
1328.3,1,1
1330,1,1
1338.5,1,1
135.2,1,1
1370.8,1,1
1387.9,1,1
139.2,1,1
140.938,1,1
142.9,1,1
143.3,1,1
1440,1,1
1443,1,1
14446,1,1
144.629,1,1
14.5,1,1
147.8,1,1
1481,1,1
1488,1,1
1506,1,1
1513,1,1
152.2,1,1
152.579,1,1
15524,1,1
155.6,1,1
15650,1,1
157.4,1,1
1591.2,1,1
1602.5,1,1
16076,1,1
16158,1,1
1616,1,1
1617.9,1,1
1678,1,1
1696.9,1,1
1699.8,1,1
170.273,1,1
17134,1,1
173.546,1,1
17377,1,1
17.8,1,1
1.82658,1,1
1854,1,1
19.3,1,1
1972,1,1
19.9,1,1
1991,1,1
20135,1,1
20.1,1,1
20.5,1,1
2.06499,1,1
21.5,1,1
21.7,1,1
21.9,1,1
2206,1,1
2229,1,1
22.3,1,1
22.8,1,1
23,1,1
2300,1,1
2319,1,1
2358,1,1
2380,1,1
2.40781,1,1
2422.7,1,1
2426,1,1
2457,1,1
2460,1,1
24.9,1,1
2513.6,1,1
251,1,1
2548.3,1,1
25.6,1,1
2575,1,1
2585,1,1
258,1,1
25.9,1,1
2601.4,1,1
2615.7,1,1
262.655,1,1
263.244,1,1
2637.5,1,1
264.891,1,1
26.4,2,2
265.933,1,1
266.856,1,1
268.387,1,1
2692,1,1
269.596,1,1
26.9,1,1
27148,1,1
27.5,1,1
276,1,1
2767,1,1
27717,1,1
2.79,1,1
27.9,1,1
28244,1,1
28.4,1,1
2859,1,1
28.6,1,1
2.9,1,1
2907.4,1,1
2938,1,1
295,1,1
29.7,1,1
2993,1,1
29.9,1,1
3048.1,1,1
305.788,1,1
3.08695,1,1
30.9,1,1
3113.4,1,1
31.2,1,1
31.3,1,1
315,1,1
3151.9,1,1
3172.7,1,1
31.9,1,1
3218.7,1,1
3219,1,1
32.5,1,1
3.27,1,1
32.8,1,1
33,1,1
330,1,1
3337,1,1
34.3,1,1
3.4332,1,1
34.5,1,1
34.7,2,1
34.8,3,2
34.9,2,1
34,2,2
35.1,2,2
35.2,1,1
35.3,2,2
35.4,1,1
35.6,1,1
35.8,2,2
35.9,2,2
3.5,1,1
3.6,1,1
3607,1,1
36.2,1,1
36.3,3,2
36.5,2,1
36.6,4,3
36.7,1,1
36.8,1,1
36.9,1,1
37,2,1
37.1,1,1
37.2,2,2
37.3,3,1
37.5,2,2
