Year,Composite breakdown,Value
2000,,98.48
2010,,98.5
2015,,98.5
2018,,98.48
2000,Elevation 2.500–3.500 meters,100.0
2010,Elevation 2.500–3.500 meters,100.0
2015,Elevation 2.500–3.500 meters,100.0
2018,Elevation 2.500–3.500 meters,100.0
2000,Elevation 1.500–2.500 meters and slope > 2,96.15
2010,Elevation 1.500–2.500 meters and slope > 2,96.12
2015,Elevation 1.500–2.500 meters and slope > 2,96.09
2018,Elevation 1.500–2.500 meters and slope > 2,96.06
2000,Elevation 1.000–1.500 meters and slope > 5 or local elevation range (LER 7 kilometer radius) > 300 meters,97.96
2010,Elevation 1.000–1.500 meters and slope > 5 or local elevation range (LER 7 kilometer radius) > 300 meters,98.01
2015,Elevation 1.000–1.500 meters and slope > 5 or local elevation range (LER 7 kilometer radius) > 300 meters,98.0
2018,Elevation 1.000–1.500 meters and slope > 5 or local elevation range (LER 7 kilometer radius) > 300 meters,98.03
2000,Elevation 300–1.000 meters and local elevation range (7 kilometer radius) > 300 meters,99.25
2010,Elevation 300–1.000 meters and local elevation range (7 kilometer radius) > 300 meters,99.26
2015,Elevation 300–1.000 meters and local elevation range (7 kilometer radius) > 300 meters,99.26
2018,Elevation 300–1.000 meters and local elevation range (7 kilometer radius) > 300 meters,99.21
