Year,NATURE,SOURCE_DETAIL,SDG Series,Composite breakdown,Unit of measure,Nature of data points,Source details,Value
2006,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,-5.0031
2007,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,-6.10251
2008,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,-6.7621
2009,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,-4.74052
2010,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,-4.49736
2011,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,-1.94131
2012,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,-1.484
2013,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,-1.18709
2014,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,-2.05891
2015,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,-1.47146
2016,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,-0.55542
2017,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,-3.20063
2018,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.59629
2019,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,1.95964
2020,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,-1.07273
2021,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,-5.60474
2000,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,306.71714
2001,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,353.68048
2002,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,400.5329
2003,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,403.24594
2004,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,403.41086
2005,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,401.65508
2006,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,381.55988
2007,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,377.14404
2008,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,374.49477
2009,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,382.61454
2010,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,383.5912
2011,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,393.85773
2012,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,395.69453
2013,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,396.88708
2014,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,393.38537
2015,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,395.7449
