Year,COMMENT_OBS,Sex,Economic activity,Value
2011,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,,,85.6
2014,Repository: ILO-STATISTICS - Micro data processing,,,87.4
2019,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,,,79.8
2011,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,,"Agriculture, forestry and fishing",97.6
2014,Repository: ILO-STATISTICS - Micro data processing,,"Agriculture, forestry and fishing",97.8
2019,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,,"Agriculture, forestry and fishing",90.0
2011,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,,Non-agriculture,62.5
2014,Repository: ILO-STATISTICS - Micro data processing,,Non-agriculture,66.0
2019,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,,Non-agriculture,74.1
2011,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Female,,91.5
2014,Repository: ILO-STATISTICS - Micro data processing,Female,,91.6
2019,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Female,,80.8
2011,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Female,"Agriculture, forestry and fishing",98.8
2014,Repository: ILO-STATISTICS - Micro data processing,Female,"Agriculture, forestry and fishing",99.0
2019,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Female,"Agriculture, forestry and fishing",92.0
2011,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Female,Non-agriculture,72.9
2014,Repository: ILO-STATISTICS - Micro data processing,Female,Non-agriculture,72.8
2019,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Female,Non-agriculture,75.1
2011,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Male,,79.7
2014,Repository: ILO-STATISTICS - Micro data processing,Male,,83.0
2019,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Male,,79.0
2011,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Male,"Agriculture, forestry and fishing",96.2
2014,Repository: ILO-STATISTICS - Micro data processing,Male,"Agriculture, forestry and fishing",96.4
2019,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Male,"Agriculture, forestry and fishing",88.5
2011,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Male,Non-agriculture,55.1
2014,Repository: ILO-STATISTICS - Micro data processing,Male,Non-agriculture,60.6
2019,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Male,Non-agriculture,73.4
