Year,UNIT_MULT,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Unit of measure,Unit multiplier,Nature of data points,Observation-level footnotes,Source details,Value
2000,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",47.47571
2010,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",46.28481
2015,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",45.68936
2016,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",45.57027
2017,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",45.45118
2018,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",45.33209
2019,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",45.213
2020,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",45.09391
2000,3,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",18365.98
2010,3,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",17905.28
2015,3,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",17674.93
2016,3,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",17628.86
2017,3,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",17582.79
2018,3,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",17536.72
2019,3,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",17490.65
2020,3,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",17444.58
2000,3,C,,Data from FAOSTAT extracted 20220110,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2019,38685.0
2010,3,E,,Data from FAOSTAT extracted 20220110,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2019,38685.0
2015,3,E,,Data from FAOSTAT extracted 20220110,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2019,38685.0
2016,3,E,,Data from FAOSTAT extracted 20220110,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2019,38685.0
2017,3,E,,Data from FAOSTAT extracted 20220110,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2019,38685.0
2018,3,E,,Data from FAOSTAT extracted 20220110,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2019,38685.0
2019,3,E,,Data from FAOSTAT extracted 20220110,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2019,38685.0
2020,3,E,,FAO estimate based on FAOSTAT data from 2019,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2019,38685.0
