Year,COMMENT_OBS,SDG Series,Unit of measure,BASE_PER,Base period,Value
2000,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,,,0.0
2001,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,,,0.0
2002,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,,,0.0
2003,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,,,0.0
2004,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,,,0.0
2005,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,,,0.0
2006,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,,,0.0
2007,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,,,0.0
2008,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,,,0.0
2009,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,,,0.0
2010,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,,,0.0
