Year,NATURE,SOURCE_DETAIL,COMMENT_OBS,Value
2000,C,"PTC, ZISPA, ITU estimate.",,0.40143
2001,C,"PTC, ZISPA, ITU estimate.",,0.79985
2002,E,ITU estimate.,,1.1
2003,E,ITU estimate.,,1.8
2004,E,ITU estimate.,,2.1
2005,E,ITU estimate.,,2.4
2006,E,ITU estimate.,,2.4
2007,E,ITU estimate.,,3.0
2008,E,ITU estimate.,,3.5
2009,E,ITU estimate.,,4.0
2010,E,ITU estimate.,,6.4
2011,E,ITU estimate.,,8.4
2012,E,ITU estimate.,,12.0
2013,E,ITU estimate.,,15.5
2014,C,Zimbabwe National Statistics Agency (ZIMSTAT),Population age 3+.,16.36474
2015,E,ITU estimate.,,22.74282
2016,E,ITU Estimate.,,23.11999
2017,E,ITU estimate.,,24.4
2018,E,ITU estimate.,,25.0
2019,E,ITU estimate.,,25.1
2020,C,Zimbabwe National Statistics Agency (ZIMSTAT),,29.3
