Year,COMMENT_OBS,Value
2000,"Commitments; Based on OECD, CRS databased, 2022; Constant 2020 USD million",68.615
2001,"Commitments; Based on OECD, CRS databased, 2022; Constant 2020 USD million",72.10152
2002,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",15.13861
2003,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",22.63489
2004,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",30.38556
2005,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",28.61158
2006,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",43.09507
2007,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",12.92334
2008,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",11.46599
2009,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",22.11556
2010,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",29.95272
2011,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",44.76691
2012,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",35.78765
2013,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",29.47476
2014,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",51.90114
2015,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",36.91812
2016,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",37.65528
2017,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",44.44811
2018,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",40.42908
2019,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",30.41874
2020,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",73.70182
