Year,NATURE,SOURCE_DETAIL,Age,Nature of data points,Value
2001,CA,Zimbabwe 2009 Multiple Indicator Cluster Survey,10 to 14 years old,Country Adjusted,2.6
2002,CA,Zimbabwe 2015 Demographic and Health Survey,10 to 14 years old,Country Adjusted,3.4
2003,CA,Zimbabwe 2005-2006 Demographic and Health Survey,10 to 14 years old,Country Adjusted,1.7
2004,CA,Zimbabwe 2005-2006 Demographic and Health Survey,10 to 14 years old,Country Adjusted,1.4
2005,CA,Zimbabwe 2015 Demographic and Health Survey,10 to 14 years old,Country Adjusted,3.1
2006,CA,Zimbabwe 2009 Multiple Indicator Cluster Survey,10 to 14 years old,Country Adjusted,1.2
2007,CA,Zimbabwe 2009 Multiple Indicator Cluster Survey,10 to 14 years old,Country Adjusted,1.0
2008,CA,Zimbabwe 2010-2011 Demographic and Health Survey,10 to 14 years old,Country Adjusted,1.9
2009,CA,Zimbabwe 2010-2011 Demographic and Health Survey,10 to 14 years old,Country Adjusted,1.6
2011,CA,Zimbabwe 2014 Multiple Indicator Cluster Survey,10 to 14 years old,Country Adjusted,1.0
2012,CA,Zimbabwe 2014 Multiple Indicator Cluster Survey,10 to 14 years old,Country Adjusted,0.6
2013,CA,Zimbabwe 2015 Demographic and Health Survey,10 to 14 years old,Country Adjusted,1.0
2014,CA,Zimbabwe 2015 Demographic and Health Survey,10 to 14 years old,Country Adjusted,1.7
2016,CA,Zimbabwe 2019 Multiple Indicator Cluster Survey,10 to 14 years old,Country Adjusted,1.2
2017,CA,Zimbabwe 2019 Multiple Indicator Cluster Survey,10 to 14 years old,Country Adjusted,1.1
2002,C,Zimbabwe 2002 Census,15 to 19 years old,Country Data,102.6
2003,C,Zimbabwe 2005-2006 Demographic and Health Survey,15 to 19 years old,Country Data,101.0
2004,C,Zimbabwe 2005-2006 Demographic and Health Survey,15 to 19 years old,Country Data,98.7
2006,CA,Zimbabwe 2009 Multiple Indicator Cluster Survey,15 to 19 years old,Country Data,106.0
2007,C,Zimbabwe 2009 Multiple Indicator Cluster Survey,15 to 19 years old,Country Data,102.6
2008,C,Zimbabwe 2010-2011 Demographic and Health Survey,15 to 19 years old,Country Data,112.0
2009,C,Zimbabwe 2010-2011 Demographic and Health Survey,15 to 19 years old,Country Data,114.6
2011,CA,Zimbabwe 2014 Multiple Indicator Cluster Survey,15 to 19 years old,Country Data,118.8
2012,C,Zimbabwe 2014 Multiple Indicator Cluster Survey,15 to 19 years old,Country Data,119.7
2013,C,Zimbabwe 2014 Multiple Indicator Cluster Survey,15 to 19 years old,Country Data,120.0
2014,C,Zimbabwe 2015 Demographic and Health Survey,15 to 19 years old,Country Data,110.0
2016,CA,Zimbabwe 2019 Multiple Indicator Cluster Survey,15 to 19 years old,Country Data,111.0
2017,C,Zimbabwe 2019 Multiple Indicator Cluster Survey,15 to 19 years old,Country Data,107.9
