Year,SDG Series,Value
2000,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],78
2001,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],75
2002,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],71
2003,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],68
2004,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],65
2005,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],68
2006,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],70
2007,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],73
2008,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],75
2009,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],73
2010,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],89
2011,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],93
2012,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],95
2013,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],95
2014,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],91
2015,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],87
2016,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],90
2017,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],89
2018,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],89
2019,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],90
2020,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],86
2019,"Proportion of the target population with access to affordable medicines and vaccines on a sustainable basis, human papillomavirus (HPV) [3.b.1]",67
2016,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],63
2017,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],78
2018,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],78
2019,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],75
2020,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],74
2012,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],21
2013,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],95
2014,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],91
2015,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],87
2016,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],90
2017,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],89
2018,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],89
2019,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],90
2020,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],86
