Year,SDG Series,Sex,Occupation,Unit of measure,Value
2000,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population",1.26
2004,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population",1.74
2005,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population",1.26
2007,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population",0.54
2008,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population",0.6
2009,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population",1.21
2010,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population",1.27
2011,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population",0.82
2012,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population",0.81
2013,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population",0.83
2014,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population",1.24
2015,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population",1.82
2016,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population",1.79
2017,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population",1.86
2018,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population",2.1
2020,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population",1.99
2009,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population",9.49
2010,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population",8.29
2011,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population",13.2
2012,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population",11.85
2013,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population",14.02
2014,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population",15.37
