Year,SDG Series,Value
2017,Degree of integrated water resources management implementation (%) [6.5.1],61
2020,Degree of integrated water resources management implementation (%) [6.5.1],63
2017,"Degree of integrated water resources management implementation, enabling environment (%) [6.5.1]",72
2020,"Degree of integrated water resources management implementation, enabling environment (%) [6.5.1]",74
2017,"Degree of integrated water resources management implementation, financing (%) [6.5.1]",52
2020,"Degree of integrated water resources management implementation, financing (%) [6.5.1]",53
2017,"Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]",65
2020,"Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]",67
2017,"Degree of integrated water resources management implementation, management instruments (%) [6.5.1]",54
2020,"Degree of integrated water resources management implementation, management instruments (%) [6.5.1]",56
