Year,SOURCE_DETAIL,SDG Series,Composite breakdown,Economic activity,Unit of measure,Source details,COMMENT_OBS,Observation-level footnotes,Value
2017,UNSD/UNEP Questionnaire on Environment Statistics,"Electronic waste collected, per capita (KG) [12.4.2]",,,Kilograms,UNSD/UNEP Questionnaire on Environment Statistics,,,0.00211
2017,UNSD / UNITAR / WESR,Electronic waste collection rate (%) [12.4.2],,,Percent,UNSD / UNITAR / WESR,,,0.75
2017,UNSD/UNEP Questionnaire on Environment Statistics,Electronic waste collected (Tonnes) [12.4.2],,,Metric Tons,UNSD/UNEP Questionnaire on Environment Statistics,,,30.0
2017,UNSD/UNEP Questionnaire on Environment Statistics,"Electronic waste generated, per capita (Kg) [12.4.2]",,,Kilograms,UNSD/UNEP Questionnaire on Environment Statistics,,,0.28097
2017,UNSD/UNEP Questionnaire on Environment Statistics,Electronic waste generated (Tonnes) [12.4.2],,,Metric Tons,UNSD/UNEP Questionnaire on Environment Statistics,,,4000.0
2016,UNSD/UNEP Questionnaire on Environment Statistics,Municipal waste collected (Tonnes) [12.4.2],,,Metric Tons,UNSD/UNEP Questionnaire on Environment Statistics,"Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.","Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.",782977.722
2017,UNSD/UNEP Questionnaire on Environment Statistics,Municipal waste collected (Tonnes) [12.4.2],,,Metric Tons,UNSD/UNEP Questionnaire on Environment Statistics,"Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.","Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.",732778.442
2016,UNSD/UNEP Questionnaire on Environment Statistics,"Municipal waste treated, by type of treatment (%) [12.4.2]",Waste treatment: Composting,,Percent,UNSD/UNEP Questionnaire on Environment Statistics,"Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.","Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.",0.36396
2017,UNSD/UNEP Questionnaire on Environment Statistics,"Municipal waste treated, by type of treatment (%) [12.4.2]",Waste treatment: Composting,,Percent,UNSD/UNEP Questionnaire on Environment Statistics,"Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.","Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.",0.46644
2016,UNSD/UNEP Questionnaire on Environment Statistics,"Municipal waste treated, by type of treatment (%) [12.4.2]",Waste treatment: Incineration,,Percent,UNSD/UNEP Questionnaire on Environment Statistics,"Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.","Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.",0.44026
