Year,COMMENT_OBS,SDG Series,Observation-level footnotes,Value
2016,Zimbabwe Human Rights Commission,"Countries with National Human Rights Institutions in compliance with the Paris Principles, A status (1 = YES; 0 = NO) [16.a.1]",Zimbabwe Human Rights Commission,1
2017,Zimbabwe Human Rights Commission,"Countries with National Human Rights Institutions in compliance with the Paris Principles, A status (1 = YES; 0 = NO) [16.a.1]",Zimbabwe Human Rights Commission,1
2018,Zimbabwe Human Rights Commission,"Countries with National Human Rights Institutions in compliance with the Paris Principles, A status (1 = YES; 0 = NO) [16.a.1]",Zimbabwe Human Rights Commission,1
2019,Zimbabwe Human Rights Commission,"Countries with National Human Rights Institutions in compliance with the Paris Principles, A status (1 = YES; 0 = NO) [16.a.1]",Zimbabwe Human Rights Commission,1
2020,Zimbabwe Human Rights Commission,"Countries with National Human Rights Institutions in compliance with the Paris Principles, A status (1 = YES; 0 = NO) [16.a.1]",Zimbabwe Human Rights Commission,1
2021,Zimbabwe Human Rights Commission,"Countries with National Human Rights Institutions in compliance with the Paris Principles, A status (1 = YES; 0 = NO) [16.a.1]",Zimbabwe Human Rights Commission,1
2000,,"Countries with no application for accreditation with the Paris Principles, D status  (1 = YES; 0 = NO) [16.a.1]",,1
2005,,"Countries with no application for accreditation with the Paris Principles, D status  (1 = YES; 0 = NO) [16.a.1]",,1
2010,,"Countries with no application for accreditation with the Paris Principles, D status  (1 = YES; 0 = NO) [16.a.1]",,1
2015,,"Countries with no application for accreditation with the Paris Principles, D status  (1 = YES; 0 = NO) [16.a.1]",,1
