Year,SDG Series,Value
2010,Amount of tracked exported Environmentally Sound Technologies [17.7.1],16643477
2011,Amount of tracked exported Environmentally Sound Technologies [17.7.1],14011143
2012,Amount of tracked exported Environmentally Sound Technologies [17.7.1],17787927
2013,Amount of tracked exported Environmentally Sound Technologies [17.7.1],23073921
2014,Amount of tracked exported Environmentally Sound Technologies [17.7.1],21791178
2015,Amount of tracked exported Environmentally Sound Technologies [17.7.1],14754388
2016,Amount of tracked exported Environmentally Sound Technologies [17.7.1],12555064
2017,Amount of tracked exported Environmentally Sound Technologies [17.7.1],12192162
2018,Amount of tracked exported Environmentally Sound Technologies [17.7.1],11533002
2019,Amount of tracked exported Environmentally Sound Technologies [17.7.1],26126429
2020,Amount of tracked exported Environmentally Sound Technologies [17.7.1],9680873
2010,Amount of tracked imported Environmentally Sound Technologies [17.7.1],330021847
2011,Amount of tracked imported Environmentally Sound Technologies [17.7.1],339113883
2012,Amount of tracked imported Environmentally Sound Technologies [17.7.1],382748020
2013,Amount of tracked imported Environmentally Sound Technologies [17.7.1],352423236
2014,Amount of tracked imported Environmentally Sound Technologies [17.7.1],319713377
2015,Amount of tracked imported Environmentally Sound Technologies [17.7.1],320126308
2016,Amount of tracked imported Environmentally Sound Technologies [17.7.1],267627886
2017,Amount of tracked imported Environmentally Sound Technologies [17.7.1],292883065
2018,Amount of tracked imported Environmentally Sound Technologies [17.7.1],320197247
2019,Amount of tracked imported Environmentally Sound Technologies [17.7.1],315216741
2020,Amount of tracked imported Environmentally Sound Technologies [17.7.1],421093443
2010,Amount of tracked re-exported Environmentally Sound Technologies [17.7.1],901718
2011,Amount of tracked re-exported Environmentally Sound Technologies [17.7.1],224348
2012,Amount of tracked re-exported Environmentally Sound Technologies [17.7.1],418511
2013,Amount of tracked re-exported Environmentally Sound Technologies [17.7.1],597768
2014,Amount of tracked re-exported Environmentally Sound Technologies [17.7.1],338044
2015,Amount of tracked re-exported Environmentally Sound Technologies [17.7.1],1133724
2016,Amount of tracked re-exported Environmentally Sound Technologies [17.7.1],754973
2020,Amount of tracked re-exported Environmentally Sound Technologies [17.7.1],59434
