Year,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Observation-level footnotes,Source details,Value
2018,C,"Out of 51 transboundary breeds (including extinct ones), 1 are reported with genetic material stored, out of which 1 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,Number of transboundary breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],"Out of 51 transboundary breeds (including extinct ones), 1 are reported with genetic material stored, out of which 1 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,1
2019,E,"Out of 51 transboundary breeds (including extinct ones), 1 are reported with genetic material stored, out of which 1 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,Number of transboundary breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],"Out of 51 transboundary breeds (including extinct ones), 1 are reported with genetic material stored, out of which 1 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,1
2020,E,"Out of 51 transboundary breeds (including extinct ones), 1 are reported with genetic material stored, out of which 1 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,Number of transboundary breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],"Out of 51 transboundary breeds (including extinct ones), 1 are reported with genetic material stored, out of which 1 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,1
2021,E,"Out of 51 transboundary breeds (including extinct ones), 1 are reported with genetic material stored, out of which 1 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,Number of transboundary breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],"Out of 51 transboundary breeds (including extinct ones), 1 are reported with genetic material stored, out of which 1 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,1
2022,E,"Out of 51 transboundary breeds (including extinct ones), 1 are reported with genetic material stored, out of which 1 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,Number of transboundary breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],"Out of 51 transboundary breeds (including extinct ones), 1 are reported with genetic material stored, out of which 1 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,1
1995,E,Estimate based on the acquisition date of each conserved accession as reported in 2019.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),283
2000,E,Estimate based on the acquisition date of each conserved accession as reported in 2019.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),1786
2005,E,Estimate based on the acquisition date of each conserved accession as reported in 2019.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),2045
2010,E,Estimate based on the acquisition date of each conserved accession as reported in 2019.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),5130
2012,E,Estimate based on the acquisition date of each conserved accession as reported in 2019.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),6069
2014,E,Estimate based on the acquisition date of each conserved accession as reported in 2019.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),6135
2016,E,Estimate based on the acquisition date of each conserved accession as reported in 2019.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),6171
2017,E,Estimate based on the acquisition date of each conserved accession as reported in 2019.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),6231
2018,E,Estimate based on the acquisition date of each conserved accession as reported in 2019.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),6231
2019,C,,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),6231
2020,E,Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),6231
2021,E,Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),6231
