Year,Sex,Age,Value
2000,,,12.6
2001,,,11.6
2002,,,10.8
2003,,,10.09
2004,,,9.53
2005,,,8.96
2006,,,8.51
2007,,,8.08
2008,,,7.63
2009,,,7.15
2010,,,6.63
2011,,,5.83
2012,,,4.88
2013,,,4.48
2014,,,4.0
2015,,,3.61
2016,,,3.18
2017,,,2.74
2018,,,2.23
2019,,,2.13
2020,,,1.74
2000,,50 years old and over,5.64
2001,,50 years old and over,5.06
2002,,50 years old and over,4.63
2003,,50 years old and over,4.28
2004,,50 years old and over,3.99
2005,,50 years old and over,3.71
2006,,50 years old and over,3.43
2007,,50 years old and over,3.22
2008,,50 years old and over,3.04
2009,,50 years old and over,2.86
2010,,50 years old and over,2.71
2011,,50 years old and over,2.4
2012,,50 years old and over,2.13
2013,,50 years old and over,1.95
2014,,50 years old and over,1.74
2015,,50 years old and over,1.55
2016,,50 years old and over,1.4
2017,,50 years old and over,1.21
2018,,50 years old and over,0.97
2019,,50 years old and over,0.93
2020,,50 years old and over,0.72
2000,,under 15 years old,7.58
2001,,under 15 years old,7.25
2002,,under 15 years old,6.84
2003,,under 15 years old,6.36
2004,,under 15 years old,6.01
2005,,under 15 years old,5.61
2006,,under 15 years old,5.49
2007,,under 15 years old,5.21
2008,,under 15 years old,4.83
2009,,under 15 years old,4.36
2010,,under 15 years old,3.63
2011,,under 15 years old,3.04
2012,,under 15 years old,1.94
2013,,under 15 years old,1.78
2014,,under 15 years old,1.54
2015,,under 15 years old,1.43
2016,,under 15 years old,1.19
2017,,under 15 years old,1.01
2018,,under 15 years old,0.87
2019,,under 15 years old,0.78
2020,,under 15 years old,0.82
2000,,15 to 24 years old,18.47
2001,,15 to 24 years old,16.63
2002,,15 to 24 years old,15.27
2003,,15 to 24 years old,14.15
2004,,15 to 24 years old,13.26
2005,,15 to 24 years old,12.41
2006,,15 to 24 years old,11.56
2007,,15 to 24 years old,10.9
2008,,15 to 24 years old,10.31
2009,,15 to 24 years old,9.76
2010,,15 to 24 years old,9.36
2011,,15 to 24 years old,8.42
2012,,15 to 24 years old,7.54
2013,,15 to 24 years old,6.96
2014,,15 to 24 years old,6.28
2015,,15 to 24 years old,5.64
2016,,15 to 24 years old,5.05
2017,,15 to 24 years old,4.4
2018,,15 to 24 years old,3.56
2019,,15 to 24 years old,3.48
2020,,15 to 24 years old,2.7
2000,,15 to 49 years old,19.48
2001,,15 to 49 years old,17.56
2002,,15 to 49 years old,16.15
2003,,15 to 49 years old,15.01
2004,,15 to 49 years old,14.09
2005,,15 to 49 years old,13.23
2006,,15 to 49 years old,12.36
2007,,15 to 49 years old,11.7
2008,,15 to 49 years old,11.1
2009,,15 to 49 years old,10.52
2010,,15 to 49 years old,10.09
2011,,15 to 49 years old,9.02
2012,,15 to 49 years old,8.05
2013,,15 to 49 years old,7.4
2014,,15 to 49 years old,6.65
2015,,15 to 49 years old,5.95
2016,,15 to 49 years old,5.29
2017,,15 to 49 years old,4.58
2018,,15 to 49 years old,3.68
2019,,15 to 49 years old,3.57
2020,,15 to 49 years old,2.75
2000,Female,,13.54
2001,Female,,12.46
2002,Female,,11.6
2003,Female,,10.84
2004,Female,,10.24
2005,Female,,9.64
2006,Female,,9.15
2007,Female,,8.69
2008,Female,,8.21
2009,Female,,7.7
2010,Female,,7.16
2011,Female,,6.4
2012,Female,,5.46
2013,Female,,5.07
2014,Female,,4.59
2015,Female,,4.17
2016,Female,,3.72
2017,Female,,3.24
2018,Female,,2.66
2019,Female,,2.57
2020,Female,,2.09
2000,Female,50 years old and over,4.49
2001,Female,50 years old and over,4.03
2002,Female,50 years old and over,3.7
2003,Female,50 years old and over,3.43
2004,Female,50 years old and over,3.21
2005,Female,50 years old and over,2.99
2006,Female,50 years old and over,2.77
2007,Female,50 years old and over,2.61
2008,Female,50 years old and over,2.47
2009,Female,50 years old and over,2.33
2010,Female,50 years old and over,2.21
2011,Female,50 years old and over,2.02
2012,Female,50 years old and over,1.82
2013,Female,50 years old and over,1.7
2014,Female,50 years old and over,1.55
2015,Female,50 years old and over,1.4
2016,Female,50 years old and over,1.27
2017,Female,50 years old and over,1.11
2018,Female,50 years old and over,0.9
2019,Female,50 years old and over,0.88
2020,Female,50 years old and over,0.69
2000,Female,15 to 24 years old,26.31
2001,Female,15 to 24 years old,23.54
2002,Female,15 to 24 years old,21.49
2003,Female,15 to 24 years old,19.82
2004,Female,15 to 24 years old,18.48
2005,Female,15 to 24 years old,17.25
2006,Female,15 to 24 years old,16.02
2007,Female,15 to 24 years old,15.09
2008,Female,15 to 24 years old,14.26
2009,Female,15 to 24 years old,13.51
2010,Female,15 to 24 years old,12.94
2011,Female,15 to 24 years old,11.76
2012,Female,15 to 24 years old,10.68
2013,Female,15 to 24 years old,9.98
2014,Female,15 to 24 years old,9.12
2015,Female,15 to 24 years old,8.3
2016,Female,15 to 24 years old,7.52
2017,Female,15 to 24 years old,6.61
2018,Female,15 to 24 years old,5.4
2019,Female,15 to 24 years old,5.33
2020,Female,15 to 24 years old,4.16
2000,Female,15 to 49 years old,22.41
2001,Female,15 to 49 years old,20.2
2002,Female,15 to 49 years old,18.58
2003,Female,15 to 49 years old,17.27
2004,Female,15 to 49 years old,16.21
2005,Female,15 to 49 years old,15.22
2006,Female,15 to 49 years old,14.22
2007,Female,15 to 49 years old,13.46
2008,Female,15 to 49 years old,12.76
2009,Female,15 to 49 years old,12.1
2010,Female,15 to 49 years old,11.6
2011,Female,15 to 49 years old,10.51
2012,Female,15 to 49 years old,9.53
2013,Female,15 to 49 years old,8.88
2014,Female,15 to 49 years old,8.08
2015,Female,15 to 49 years old,7.32
2016,Female,15 to 49 years old,6.6
2017,Female,15 to 49 years old,5.78
2018,Female,15 to 49 years old,4.69
2019,Female,15 to 49 years old,4.59
2020,Female,15 to 49 years old,3.57
2000,Male,,11.67
2001,Male,,10.75
2002,Male,,10.01
2003,Male,,9.34
2004,Male,,8.82
2005,Male,,8.29
2006,Male,,7.87
2007,Male,,7.47
2008,Male,,7.05
2009,Male,,6.6
2010,Male,,6.1
2011,Male,,5.26
2012,Male,,4.29
2013,Male,,3.88
2014,Male,,3.41
2015,Male,,3.03
2016,Male,,2.63
2017,Male,,2.23
2018,Male,,1.8
2019,Male,,1.69
2020,Male,,1.38
2000,Male,50 years old and over,7.03
2001,Male,50 years old and over,6.31
2002,Male,50 years old and over,5.77
2003,Male,50 years old and over,5.34
2004,Male,50 years old and over,4.99
2005,Male,50 years old and over,4.64
2006,Male,50 years old and over,4.28
2007,Male,50 years old and over,4.02
2008,Male,50 years old and over,3.78
2009,Male,50 years old and over,3.56
2010,Male,50 years old and over,3.39
2011,Male,50 years old and over,2.93
2012,Male,50 years old and over,2.55
2013,Male,50 years old and over,2.3
2014,Male,50 years old and over,2.02
2015,Male,50 years old and over,1.78
2016,Male,50 years old and over,1.57
2017,Male,50 years old and over,1.34
2018,Male,50 years old and over,1.06
2019,Male,50 years old and over,1.01
2020,Male,50 years old and over,0.77
2000,Male,15 to 24 years old,11.54
2001,Male,15 to 24 years old,10.43
2002,Male,15 to 24 years old,9.61
2003,Male,15 to 24 years old,8.94
2004,Male,15 to 24 years old,8.41
2005,Male,15 to 24 years old,7.88
2006,Male,15 to 24 years old,7.36
2007,Male,15 to 24 years old,6.94
2008,Male,15 to 24 years old,6.55
2009,Male,15 to 24 years old,6.19
2010,Male,15 to 24 years old,5.93
2011,Male,15 to 24 years old,5.14
2012,Male,15 to 24 years old,4.47
2013,Male,15 to 24 years old,4.0
2014,Male,15 to 24 years old,3.5
2015,Male,15 to 24 years old,3.06
2016,Male,15 to 24 years old,2.65
2017,Male,15 to 24 years old,2.25
2018,Male,15 to 24 years old,1.77
2019,Male,15 to 24 years old,1.69
2020,Male,15 to 24 years old,1.27
2000,Male,15 to 49 years old,16.74
2001,Male,15 to 49 years old,15.09
2002,Male,15 to 49 years old,13.87
2003,Male,15 to 49 years old,12.89
2004,Male,15 to 49 years old,12.1
2005,Male,15 to 49 years old,11.36
2006,Male,15 to 49 years old,10.61
2007,Male,15 to 49 years old,10.04
2008,Male,15 to 49 years old,9.53
2009,Male,15 to 49 years old,9.04
2010,Male,15 to 49 years old,8.66
2011,Male,15 to 49 years old,7.57
2012,Male,15 to 49 years old,6.63
2013,Male,15 to 49 years old,5.98
2014,Male,15 to 49 years old,5.27
2015,Male,15 to 49 years old,4.63
2016,Male,15 to 49 years old,4.05
2017,Male,15 to 49 years old,3.44
