Year,NATURE,UPPER_BOUND,LOWER_BOUND,Value
2000,E,266.856,31.1157,113.03278
2001,E,265.933,29.924,113.03279
2002,E,262.655,29.592,113.03282
2003,E,268.387,29.5288,113.03288
2004,E,263.244,28.109,113.03279
2005,E,264.891,28.7507,113.03287
2006,E,269.596,29.3969,113.03282
2007,CA,305.788,73.5384,175.12047
2008,CA,144.629,18.691,74.72573
2009,CA,152.579,41.2963,90.14505
2010,CA,173.546,59.957,109.79371
2011,CA,97.8142,46.3962,70.67823
2012,CA,76.9504,39.3355,57.21868
2013,CA,107.135,58.3425,81.95161
2014,CA,130.452,75.2231,101.89351
2015,CA,132.619,66.1586,97.61003
2016,CA,94.6432,45.0707,68.37583
2017,CA,170.273,74.036,118.8244
2018,CA,79.0963,34.4734,55.82633
2019,CA,97.5425,40.7169,67.87406
2020,CA,140.938,59.0946,98.50933
