Year,Sex,Composite breakdown,Value
2014,,Skill: ICT Skill: Sending e-mails with attached files,4.25886
2020,,Skill: ICT Skill: Sending e-mails with attached files,26.49582
2014,,Skill: ICT Skill: connecting and installing new devices,1.66856
2020,,Skill: ICT Skill: connecting and installing new devices,4.80323
2014,,Skill: ICT Skill: Copying or moving a file or folder,5.12423
2014,,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,3.52469
2020,,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,10.26376
2014,,Skill: ICT Skill: Writing a computer program using a specialized programming language,0.572
2020,,Skill: ICT Skill: Writing a computer program using a specialized programming language,1.42145
2014,,Skill: ICT Skill: Creating electronic presentations with presentation software,1.72208
2020,,Skill: ICT Skill: Creating electronic presentations with presentation software,3.9004
2014,,"Skill: ICT Skill: Finding, downloading, installing and configuring software",1.80483
2020,,"Skill: ICT Skill: Finding, downloading, installing and configuring software",9.10437
2014,,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,1.82894
2020,,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,4.83621
2014,,Skill: ICT Skill: Transferring files between a computer and other devices,3.1757
2020,,Skill: ICT Skill: Transferring files between a computer and other devices,9.40503
2014,Female,Skill: ICT Skill: Sending e-mails with attached files,3.29341
2020,Female,Skill: ICT Skill: Sending e-mails with attached files,26.4576
2014,Female,Skill: ICT Skill: connecting and installing new devices,1.17201
2020,Female,Skill: ICT Skill: connecting and installing new devices,4.13408
2014,Female,Skill: ICT Skill: Copying or moving a file or folder,3.85946
2014,Female,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,2.67262
2020,Female,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,9.39769
2014,Female,Skill: ICT Skill: Writing a computer program using a specialized programming language,0.41763
2020,Female,Skill: ICT Skill: Writing a computer program using a specialized programming language,1.05293
2014,Female,Skill: ICT Skill: Creating electronic presentations with presentation software,1.25036
2020,Female,Skill: ICT Skill: Creating electronic presentations with presentation software,3.42699
2014,Female,"Skill: ICT Skill: Finding, downloading, installing and configuring software",1.22841
2020,Female,"Skill: ICT Skill: Finding, downloading, installing and configuring software",8.17538
2014,Female,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,1.40697
2020,Female,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,4.34722
2014,Female,Skill: ICT Skill: Transferring files between a computer and other devices,2.29541
2020,Female,Skill: ICT Skill: Transferring files between a computer and other devices,8.47469
2014,Male,Skill: ICT Skill: Sending e-mails with attached files,5.30734
2020,Male,Skill: ICT Skill: Sending e-mails with attached files,26.53675
2014,Male,Skill: ICT Skill: connecting and installing new devices,2.20781
2020,Male,Skill: ICT Skill: connecting and installing new devices,5.51978
2014,Male,Skill: ICT Skill: Copying or moving a file or folder,6.49777
2014,Male,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,4.45003
2020,Male,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,11.19117
2014,Male,Skill: ICT Skill: Writing a computer program using a specialized programming language,0.73966
2020,Male,Skill: ICT Skill: Writing a computer program using a specialized programming language,1.81607
2014,Male,Skill: ICT Skill: Creating electronic presentations with presentation software,2.23437
2020,Male,Skill: ICT Skill: Creating electronic presentations with presentation software,4.40733
2014,Male,"Skill: ICT Skill: Finding, downloading, installing and configuring software",2.43081
2020,Male,"Skill: ICT Skill: Finding, downloading, installing and configuring software",10.09915
2014,Male,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,2.28719
2020,Male,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,5.35983
2014,Male,Skill: ICT Skill: Transferring files between a computer and other devices,4.13169
2020,Male,Skill: ICT Skill: Transferring files between a computer and other devices,10.40125
