Year,COMMENT_OBS,Value
2000,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",3.55084
2001,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",2.5771
2002,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",1.99383
2003,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",2.16306
2004,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",0.92777
2005,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",1.12741
2006,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",2.09071
2007,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",0.34105
2008,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",12.35346
2009,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",11.516
2010,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",16.22758
2011,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",30.5631
2012,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",57.75432
2013,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",49.43611
2014,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",45.45613
2015,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",24.96188
2016,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",15.31764
2017,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",24.2639
2018,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",29.53507
2019,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",12.2005
2020,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",18.05445
