Year,COMMENT_OBS,Value
1977,,0.4043
1978,,0.29626
1979,,0.37465
1980,,0.25291
1981,,0.35318
1982,,0.3852
1983,,0.25188
1984,,0.05992
1985,,0.01099
1986,,0.01263
1987,,0.01696
1988,,0.0177
1989,,0.0086
1990,,0.00966
1991,,0.00405
1992,,0.00871
1993,,0.01715
1994,,0.63398
2005,Obs_Value = 0;  ,0.0
2006,Obs_Value = 0;  ,0.0
2007,Obs_Value = 0;  ,0.0
2008,Obs_Value = 0;  ,0.0
2009,,12.47344
2010,,11.73633
2011,,13.61145
2012,,12.34939
2013,,9.90136
2014,,9.7662
2015,,10.2518
2016,,9.03238
2017,,9.83733
2018,,7.88109
2019,,7.34801
2020,,10.14914
