Year,UPPER_BOUND,LOWER_BOUND,SDG Series,Upper bound value,Lower bound value,Value
2000,41.8,26.1,Proportion of women aged 15-49 years with anaemia [2.2.3],40.3,19.3,33.9
2001,41.1,26.4,Proportion of women aged 15-49 years with anaemia [2.2.3],40.3,19.3,33.5
2002,40.5,26.5,Proportion of women aged 15-49 years with anaemia [2.2.3],40.3,19.3,33.2
2003,39.9,26.7,Proportion of women aged 15-49 years with anaemia [2.2.3],40.3,19.3,33.1
2004,39.8,26.8,Proportion of women aged 15-49 years with anaemia [2.2.3],40.3,19.3,32.9
2005,39.2,26.8,Proportion of women aged 15-49 years with anaemia [2.2.3],40.3,19.3,32.8
2006,39,26.5,Proportion of women aged 15-49 years with anaemia [2.2.3],40.3,19.3,32.6
2007,38.4,26.4,Proportion of women aged 15-49 years with anaemia [2.2.3],40.3,19.3,32.2
2008,38,26.2,Proportion of women aged 15-49 years with anaemia [2.2.3],40.3,19.3,31.9
2009,37.3,25.9,Proportion of women aged 15-49 years with anaemia [2.2.3],40.3,19.3,31.4
2010,36.6,25.6,Proportion of women aged 15-49 years with anaemia [2.2.3],40.3,19.3,30.9
2011,35.9,25.3,Proportion of women aged 15-49 years with anaemia [2.2.3],40.3,19.3,30.4
2012,35.2,24.9,Proportion of women aged 15-49 years with anaemia [2.2.3],40.3,19.3,30.0
2013,34.8,24.5,Proportion of women aged 15-49 years with anaemia [2.2.3],40.3,19.3,29.6
2014,34.7,24,Proportion of women aged 15-49 years with anaemia [2.2.3],40.3,19.3,29.3
2015,35.4,23.4,Proportion of women aged 15-49 years with anaemia [2.2.3],40.3,19.3,29.1
2016,36.3,22.6,Proportion of women aged 15-49 years with anaemia [2.2.3],40.3,19.3,28.9
2017,37.3,21.7,Proportion of women aged 15-49 years with anaemia [2.2.3],40.3,19.3,28.8
2018,38.7,20.5,Proportion of women aged 15-49 years with anaemia [2.2.3],40.3,19.3,28.8
2019,40.3,19.3,Proportion of women aged 15-49 years with anaemia [2.2.3],40.3,19.3,28.9
2000,42.4,25.8,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",40.4,18.7,33.9
2001,41.6,26.1,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",40.4,18.7,33.6
2002,40.9,26.2,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",40.4,18.7,33.2
2003,40.2,26.4,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",40.4,18.7,33.0
2004,39.9,26.5,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",40.4,18.7,32.8
2005,39.4,26.5,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",40.4,18.7,32.7
2006,39,26.3,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",40.4,18.7,32.4
2007,38.5,26.1,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",40.4,18.7,32.1
2008,37.9,25.8,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",40.4,18.7,31.6
2009,37.3,25.5,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",40.4,18.7,31.1
2010,36.6,25.1,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",40.4,18.7,30.6
2011,35.8,24.8,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",40.4,18.7,30.1
2012,35.1,24.5,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",40.4,18.7,29.7
2013,34.8,24.1,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",40.4,18.7,29.3
2014,34.7,23.6,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",40.4,18.7,29.0
2015,35.3,22.9,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",40.4,18.7,28.8
2016,36.3,22.1,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",40.4,18.7,28.7
2017,37.2,21.2,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",40.4,18.7,28.6
2018,38.8,20,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",40.4,18.7,28.6
2019,40.4,18.7,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",40.4,18.7,28.7
2000,40.2,25.1,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",42.9,20.6,33.0
2001,40,25.4,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",42.9,20.6,33.1
2002,40.1,25.8,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",42.9,20.6,33.2
2003,40.2,26.1,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",42.9,20.6,33.5
2004,40.3,26.6,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",42.9,20.6,33.7
2005,40.5,26.9,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",42.9,20.6,34.0
2006,40.3,27.3,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",42.9,20.6,34.1
2007,40.1,27.4,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",42.9,20.6,34.2
2008,40.2,27.4,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",42.9,20.6,34.2
2009,39.9,27.7,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",42.9,20.6,34.1
2010,39.6,27.8,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",42.9,20.6,33.9
2011,39.4,27.7,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",42.9,20.6,33.6
2012,39.2,27.3,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",42.9,20.6,33.3
2013,39.1,26.8,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",42.9,20.6,32.9
2014,39.1,26.3,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",42.9,20.6,32.7
2015,39.4,25.7,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",42.9,20.6,32.4
2016,39.9,24.7,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",42.9,20.6,32.2
2017,40.7,23.1,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",42.9,20.6,32.0
2018,41.7,22,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",42.9,20.6,31.8
2019,42.9,20.6,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",42.9,20.6,31.7
