Year,COMMENT_OBS,Value
2000,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",22.55941
2001,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",5.85072
2002,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",11.16183
2003,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",5.99465
2004,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",12.55439
2005,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",6.18622
2006,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",6.76675
2007,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",17.36332
2008,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",9.96638
2009,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",52.60037
2010,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",55.53506
2011,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",88.53058
2012,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",86.28221
2013,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",70.0783
2014,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",35.93532
2015,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",48.67706
2016,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",49.67924
2017,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",47.02433
2018,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",49.05468
2019,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",55.44779
2020,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",37.42564
