Year,Economic activity,Value
2000,,35.73977
2001,,37.60796
2002,,39.47615
2003,,38.28389
2004,,37.09163
2005,,35.89936
2006,,34.7071
2007,,33.51483
2008,,33.30947
2009,,33.10411
2010,,32.90122
2011,,32.69668
2012,,32.48803
2013,,32.28267
2014,,32.07731
2015,,31.87195
2016,,31.93766
2017,,31.34623
2018,,35.40537
2019,,35.40537
2000,Agriculture (ISIC4 A01 A0210 A0322),28.2
2001,Agriculture (ISIC4 A01 A0210 A0322),29.68
2002,Agriculture (ISIC4 A01 A0210 A0322),31.15
2003,Agriculture (ISIC4 A01 A0210 A0322),30.42
2004,Agriculture (ISIC4 A01 A0210 A0322),29.69
2005,Agriculture (ISIC4 A01 A0210 A0322),28.96
2006,Agriculture (ISIC4 A01 A0210 A0322),28.24
2007,Agriculture (ISIC4 A01 A0210 A0322),27.51
2008,Agriculture (ISIC4 A01 A0210 A0322),27.22
2009,Agriculture (ISIC4 A01 A0210 A0322),26.93
2010,Agriculture (ISIC4 A01 A0210 A0322),26.64
2011,Agriculture (ISIC4 A01 A0210 A0322),26.35
2012,Agriculture (ISIC4 A01 A0210 A0322),26.05
2013,Agriculture (ISIC4 A01 A0210 A0322),25.76
2014,Agriculture (ISIC4 A01 A0210 A0322),25.47
2015,Agriculture (ISIC4 A01 A0210 A0322),25.18
2016,Agriculture (ISIC4 A01 A0210 A0322),25.55
2017,Agriculture (ISIC4 A01 A0210 A0322),26.0
2018,Agriculture (ISIC4 A01 A0210 A0322),28.55
2019,Agriculture (ISIC4 A01 A0210 A0322),28.55
2000,Industries,2.53
2001,Industries,2.66
2002,Industries,2.8
2003,Industries,2.64
2004,Industries,2.49
2005,Industries,2.33
2006,Industries,2.17
2007,Industries,2.02
2008,Industries,1.86
2009,Industries,1.7
2010,Industries,1.55
2011,Industries,1.39
2012,Industries,1.23
2013,Industries,1.08
2014,Industries,0.92
2015,Industries,0.76
2016,Industries,0.76
2017,Industries,0.76
2018,Industries,0.76
2019,Industries,0.76
2000,Services (G to T),5.01
2001,Services (G to T),5.27
2002,Services (G to T),5.53
2003,Services (G to T),5.22
2004,Services (G to T),4.91
2005,Services (G to T),4.61
2006,Services (G to T),4.3
2007,Services (G to T),3.99
2008,Services (G to T),4.23
2009,Services (G to T),4.47
2010,Services (G to T),4.72
2011,Services (G to T),4.96
2012,Services (G to T),5.2
2013,Services (G to T),5.44
2014,Services (G to T),5.68
2015,Services (G to T),5.93
2016,Services (G to T),5.63
2017,Services (G to T),4.58
2018,Services (G to T),6.09
2019,Services (G to T),6.09
