Year,SDG Series,Value
2006,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",7.22127
2007,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",7.70061
2008,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",7.4679
2009,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",7.94294
2010,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",5.39503
2011,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",4.40935
2012,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",4.91661
2013,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",4.84938
2014,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",6.03424
2015,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",7.15709
2016,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",7.07335
2017,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",6.88928
2018,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",6.6253
2019,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",6.39814
2020,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",6.16189
2004,"Number of commercial bank branches per 100,000 adults [8.10.1]",2.88103
2005,"Number of commercial bank branches per 100,000 adults [8.10.1]",3.91058
2006,"Number of commercial bank branches per 100,000 adults [8.10.1]",3.66661
2007,"Number of commercial bank branches per 100,000 adults [8.10.1]",4.09311
2008,"Number of commercial bank branches per 100,000 adults [8.10.1]",3.41075
2009,"Number of commercial bank branches per 100,000 adults [8.10.1]",4.53688
2010,"Number of commercial bank branches per 100,000 adults [8.10.1]",4.80158
2011,"Number of commercial bank branches per 100,000 adults [8.10.1]",6.22104
2012,"Number of commercial bank branches per 100,000 adults [8.10.1]",12.97512
2013,"Number of commercial bank branches per 100,000 adults [8.10.1]",13.70533
2014,"Number of commercial bank branches per 100,000 adults [8.10.1]",14.766
2015,"Number of commercial bank branches per 100,000 adults [8.10.1]",6.01044
2016,"Number of commercial bank branches per 100,000 adults [8.10.1]",5.8178
2017,"Number of commercial bank branches per 100,000 adults [8.10.1]",5.64114
2018,"Number of commercial bank branches per 100,000 adults [8.10.1]",5.48301
2019,"Number of commercial bank branches per 100,000 adults [8.10.1]",3.75389
2020,"Number of commercial bank branches per 100,000 adults [8.10.1]",4.1697
